index,value
949,127.0
950,127.0
951,127.0
952,127.0
953,127.0
954,127.0
955,127.0
956,127.0
957,127.0
958,127.0
959,127.0
960,127.0
961,127.0
962,127.0
963,127.0
964,127.0
965,127.0
966,127.0
967,127.0
968,127.0
969,127.0
970,127.0
971,127.0
972,127.0
973,127.0
974,127.0
975,-128.0
976,-128.0
977,-128.0
978,-128.0
979,-128.0
980,-128.0
981,-128.0
982,-128.0
983,-128.0
984,-128.0
985,-128.0
986,-128.0
987,-128.0
988,-128.0
989,127.0
990,127.0
991,127.0
992,127.0
993,127.0
994,127.0
995,-128.0
996,-128.0
997,-128.0
998,-128.0
999,-128.0
1000,-128.0
1001,-128.0
1002,-128.0
1003,-128.0
1004,-128.0
1005,-128.0
1006,-128.0
1007,-128.0
1008,-128.0
1009,127.0
1010,127.0
1011,127.0
1012,127.0
1013,127.0
1014,127.0
1015,127.0
1016,127.0
1017,127.0
1018,127.0
1019,127.0
1020,127.0
1021,-128.0
1022,-128.0
1023,-128.0
